(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Kreisen und kreisfreien Städten;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;27.05.2019;03:05;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;Graue Panther;33;1;76172;0,203727;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;LKR;34;1;43965;0,117587;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;35;1;34447;0,092131;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;NL;36;1;15943;0,042641;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;ÖkoLinX;37;1;35794;0,095733;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;Die Humanisten;38;1;62613;0,167463;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;PARTEI FÜR DIE TIERE;39;1;85722;0,229269;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;Gesundheitsforschung;40;1;71006;0,18991;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;Partei;Volt;41;1;248824;0,665496;;;;;
EP;26.05.2019;Bund;99;Bundesgebiet;;;System-Gruppe;Übrige;1000;1;;;309200;1,05331;;-1,05331;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wahlberechtigte;-4;;2267570;;2257089;;0,464359;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wähler/-innen;-3;;1356935;59,840931;978082;43,333781;38,734278;16,50715;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;1;8988;0,662375;7697;0,786948;16,772769;-0,124573;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;1;1347947;99,337625;970385;99,213052;38,908474;0,124573;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;1;1;353789;26,246507;334121;34,431798;5,88649;-8,185291;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;2;1;230415;17,093773;309934;31,939282;-25,656753;-14,845509;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;1;392408;29,11153;120245;12,391473;226,340388;16,720057;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;4;1;100419;7,449774;66109;6,812657;51,899136;0,637117;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DIE LINKE;5;1;50384;3,737832;43302;4,462353;16,354903;-0,72452;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;6;1;79704;5,912992;36394;3,75047;119,003132;2,162522;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;PIRATEN;7;1;12277;0,910792;14790;1,524137;-16,99121;-0,613345;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzpartei;8;1;19820;1,470384;12835;1,322671;54,421504;0,147713;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;FAMILIE;9;1;12081;0,896252;7482;0,771034;61,467522;0,125218;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;10;1;31494;2,336442;5648;0,582037;457,613314;1,754405;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;11;1;11935;0,885421;5072;0,522679;135,311514;0,362741;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;NPD;12;1;2095;0,155422;4996;0,514847;-58,066453;-0,359426;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖDP;13;1;5835;0,432881;2059;0,212184;183,389995;0,220697;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Volksabstimmung;14;1;1427;0,105865;1920;0,19786;-25,677083;-0,091995;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DKP;15;1;516;0,03828;566;0,058327;-8,833922;-0,020047;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;16;1;311;0,023072;331;0,03411;-6,042296;-0,011038;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;BP;17;1;776;0,057569;330;0,034007;135,151515;0,023562;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;SGP;18;1;177;0,013131;221;0,022774;-19,909502;-0,009643;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;TIERSCHUTZ hier!;19;1;3216;0,238585;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzallianz;20;1;2157;0,160021;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Bündnis C;21;1;1266;0,093921;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;BIG;22;1;1121;0,083164;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;BGE;23;1;1262;0,093624;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DIE DIREKTE!;24;1;832;0,061723;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DiEM25;25;1;3717;0,275753;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;III. Weg;26;1;209;0,015505;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Grauen;27;1;2690;0,199563;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DIE RECHTE;28;1;557;0,041322;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DIE VIOLETTEN;29;1;1080;0,080122;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;LIEBE;30;1;1260;0,093475;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;DIE FRAUEN;31;1;1506;0,111725;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Graue Panther;32;1;3177;0,235692;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;LKR;33;1;1411;0,104678;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;MENSCHLICHE WELT;34;1;1000;0,074187;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;NL;35;1;617;0,045773;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖkoLinX;36;1;1203;0,089247;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Humanisten;37;1;2224;0,164992;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;PARTEI FÜR DIE TIERE;38;1;2361;0,175155;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Gesundheitsforschung;39;1;1684;0,124931;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;40;1;7534;0,558924;;;;;
EP;26.05.2019;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;1;;;4030;0,415299;;-0,415299;
EP;26.05.2019;Land;02;Hamburg;BUND;99;System-Gruppe;Wahlberechtigte;-4;;1302539;;1283323;;1,497363;;
EP;26.05.2019;Land;02;Hamburg;BUND;99;System-Gruppe;Wähler/-innen;-3;;803117;61,657808;558277;43,502454;43,856365;18,155354;
EP;26.05.2019;Land;02;Hamburg;BUND;99;System-Gruppe;Ungültige;-2;1;9936;1,23718;5406;0,968337;83,795782;0,268843;
EP;26.05.2019;Land;02;Hamburg;BUND;99;System-Gruppe;Gültige;-1;1;793181;98,76282;552871;99,031663;43,465836;-0,268843;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;SPD;1;1;157023;19,796616;186638;33,757965;-15,867615;-13,961349;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;CDU;2;1;140023;17,653348;135780;24,559074;3,124908;-6,905727;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;GRÜNE;3;1;247147;31,158966;95169;17,2136;159,692757;13,945367;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;DIE LINKE;4;1;55171;6,955663;47630;8,61503;15,832459;-1,659366;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;AfD;5;1;51381;6,47784;33239;6,012072;54,580463;0,465769;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;FDP;6;1;44292;5,584097;20513;3,710269;115,921611;1,873829;
EP;26.05.2019;Land;02;Hamburg;BUND;99;Partei;PIRATEN;7;1;6450;0,813181;12284;2,221856;-47,492673;-1,408675;
